id,name,type,parent,x,y,width,height,visible,opacity,rotation,fillColor,constraints
"24:3","Rectangle 6","RECTANGLE","0:1",-754,193,1440,2206,true,1,0,"rgba(196, 196, 196, 1)",{"horizontal":"MIN","vertical":"MIN"}
"101:58","photo-1551183053-bf91a1d81141 1","RECTANGLE","0:1",-754,1879,471,560,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"1:2","Home","FRAME","0:1",-750,-552,1440,900,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"9:2","Frame 1","FRAME","1:2",0,0,1440,2996,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"5:0","photo-1476224203421-9ac39bcb3327 1","RECTANGLE","9:2",0,0,1440,750,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"5:1","EAT","TEXT","9:2",161,353,212,166,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"5:2","DRINK","TEXT","9:2",492,353,365,166,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"5:3","VISIT","TEXT","9:2",976,353,296,166,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"8:1","BARATIE","TEXT","9:2",31,8,206,64,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"8:2","HOME","TEXT","9:2",886,30,67,29,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"8:10","MENU","TEXT","9:2",991,30,67,29,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"8:11","GALLARY","TEXT","9:2",1096,30,99,29,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"8:12","VISIT","TEXT","9:2",1233,30,58,29,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"MIN","vertical":"MIN"}
"8:14","Vector","VECTOR","9:2",1329,32,28,28,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"SCALE","vertical":"SCALE"}
"8:16","Vector","VECTOR","9:2",1395,30,28,28,true,1,0,"rgba(255, 255, 255, 1)",{"horizontal":"SCALE","vertical":"SCALE"}
"24:2","Rectangle 5","RECTANGLE","9:2",0,900,1423,180,true,1,0,"rgba(196, 196, 196, 1)",{"horizontal":"MIN","vertical":"MIN"}
"101:16","Rectangle 9","RECTANGLE","0:1",725,-764,1440,2622,true,1,0,"rgba(196, 196, 196, 1)",{"horizontal":"MIN","vertical":"MIN"}
"14:2","photo-1484723091739-30a097e8f929 1","RECTANGLE","0:1",-757,715,474,591,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"14:4","photo-1484980972926-edee96e0960d 1","RECTANGLE","0:1",-287,715,500,591,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"101:19","photo-1533777857889-4be7c70b33f7 2","RECTANGLE","0:1",1287,371,847,752,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"101:20","Rectangle 10","RECTANGLE","0:1",765,492,657,473,true,1,0,"rgba(233, 233, 233, 1)",{"horizontal":"MIN","vertical":"MIN"}
"101:21","Rectangle 11","RECTANGLE","0:1",806,543,657,473,true,1,0,"rgba(233, 233, 233, 1)",{"horizontal":"MIN","vertical":"MIN"}
"101:22","-Monkey D. Luffy","TEXT","0:1",1123,944,276,42,true,1,0,"rgba(0, 0, 0, 1)",{"horizontal":"MIN","vertical":"MIN"}
"15:0","photo-1585032226651-759b368d7246 1","RECTANGLE","0:1",-287,1306,500,591,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
"14:5","photo-1540189549336-e6e99c3679fe 1","RECTANGLE","0:1",-757,1306,470,591,true,1,0,"",{"horizontal":"MIN","vertical":"MIN"}
